effect,group,term,estimate,std.error,statistic,df,p.value
ran_pars,item_id,sd__(Intercept),77.96933372988462,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.62092783981743,NA,NA,NA,NA
fixed,NA,(Intercept),820.6800739261154,14.63909772057536,56.060837190303296,126.55843781327827,3.1413877864340705e-91
fixed,NA,cat,40.918787213367686,20.975137133963834,1.950823346327984,53.482049161680884,0.056325866051436434
ran_pars,subj_id,sd__(Intercept),104.22436775899074,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.30460684935260696,NA,NA,NA,NA
ran_pars,subj_id,sd__cat,41.536011952020345,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),69.77551132832232,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,203.75909921236146,NA,NA,NA,NA
fixed,NA,(Intercept),813.2632845396844,16.991159184716675,47.86390826537627,106.22644002027442,1.0242638497589526e-73
fixed,NA,cat,54.09244687976831,26.896640784186026,2.0111227760297914,50.78504707181555,0.049635016111587306
ran_pars,subj_id,sd__(Intercept),104.7142226510699,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.30652563142489514,NA,NA,NA,NA
ran_pars,subj_id,sd__cat,26.896209265651354,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),92.41762356259312,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,202.83568826822227,NA,NA,NA,NA
fixed,NA,(Intercept),813.9747541847445,16.202866998101335,50.2364645886513,97.96252321929167,9.81315338472627e-72
fixed,NA,cat,41.53410424029007,26.817974413811505,1.5487412881898948,52.909064995387425,0.12740528261742642
ran_pars,subj_id,sd__(Intercept),93.92411281571346,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.17187594822559935,NA,NA,NA,NA
ran_pars,subj_id,sd__cat,46.84198389882485,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),91.21383686847648,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.950101164144,NA,NA,NA,NA
fixed,NA,(Intercept),803.0501382579308,15.81492968678184,50.77797714959949,118.38370626943643,3.294452971737597e-82
fixed,NA,cat,63.624160430609464,23.77222992644837,2.676406909552177,52.02788430086144,0.009928919833533749
ran_pars,subj_id,sd__(Intercept),105.8975668636918,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.15838000476122902,NA,NA,NA,NA
ran_pars,subj_id,sd__cat,36.3905185323597,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),80.66564051746707,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,197.86539767543331,NA,NA,NA,NA
fixed,NA,(Intercept),796.9909546040044,16.423524831925253,48.527399736672535,112.80592921915324,2.0272468358951176e-77
fixed,NA,cat,75.19429495961677,25.29998753530074,2.9721079844288125,51.391166209134795,0.00449169484119136
ran_pars,subj_id,sd__(Intercept),106.00417213719959,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.31474546708473494,NA,NA,NA,NA
ran_pars,subj_id,sd__cat,32.613000608073165,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),86.34568480111436,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,203.12283382756837,NA,NA,NA,NA
fixed,NA,(Intercept),786.3036924489807,14.56062943267933,54.00203995881045,129.26092147121258,1.477240045346221e-90
fixed,NA,cat,16.290375462862926,20.591955682099016,0.7911038521234028,54.55696415300975,0.43230923321948567
ran_pars,subj_id,sd__(Intercept),105.47775863941044,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,-0.02502111013580236,NA,NA,NA,NA
ran_pars,subj_id,sd__cat,45.82927406594106,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),68.13452571893352,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.87284758085352,NA,NA,NA,NA
