effect,group,term,estimate,std.error,statistic,df,p.value,warnings,n_subj,n_ingroup,n_outgroup,beta_0,beta_1,omega_0,tau_0,tau_1,rho,sigma
fixed,NA,(Intercept),814.741643747708,14.150071742752216,57.57862281970588,34.66006536320801,5.336718373952129e-36,,50,10,10,800,50,40,60,40,0.2,200
fixed,NA,X_i,34.08407805466535,23.786849159640465,1.4328958756124943,20.72417163587268,0.16680121277114132,,50,10,10,800,50,40,60,40,0.2,200
ran_pars,subj_id,sd__(Intercept),57.30874557653242,NA,NA,NA,NA,,50,10,10,800,50,40,60,40,0.2,200
ran_pars,subj_id,cor__(Intercept).X_i,-0.12219464258455326,NA,NA,NA,NA,,50,10,10,800,50,40,60,40,0.2,200
ran_pars,subj_id,sd__X_i,37.18834307132108,NA,NA,NA,NA,,50,10,10,800,50,40,60,40,0.2,200
ran_pars,item_id,sd__(Intercept),42.992673839352,NA,NA,NA,NA,,50,10,10,800,50,40,60,40,0.2,200
ran_pars,Residual,sd__Observation,205.23202416064018,NA,NA,NA,NA,,50,10,10,800,50,40,60,40,0.2,200
fixed,NA,(Intercept),822.0265182853605,16.5787536306394,49.58313131369315,42.93770793589468,1.536642606979379e-39,,50,10,10,800,50,40,80,40,0.2,200
fixed,NA,X_i,108.64434085901547,25.680625765533264,4.230595541204853,21.223374594929137,3.670558177103328e-4,,50,10,10,800,50,40,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),77.23147237931053,NA,NA,NA,NA,,50,10,10,800,50,40,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).X_i,-0.11321633427130696,NA,NA,NA,NA,,50,10,10,800,50,40,80,40,0.2,200
ran_pars,subj_id,sd__X_i,43.15685229352336,NA,NA,NA,NA,,50,10,10,800,50,40,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),47.77737601199673,NA,NA,NA,NA,,50,10,10,800,50,40,80,40,0.2,200
ran_pars,Residual,sd__Observation,203.53668587832038,NA,NA,NA,NA,,50,10,10,800,50,40,80,40,0.2,200
fixed,NA,(Intercept),775.8146212059644,20.617183715169183,37.62951487089652,58.02069457444959,1.860514753840198e-42,,50,10,10,800,50,40,100,40,0.2,200
fixed,NA,X_i,53.89917425909975,23.58129967155,2.2856744543273497,19.960176263078978,0.033344276330014494,,50,10,10,800,50,40,100,40,0.2,200
ran_pars,subj_id,sd__(Intercept),119.94460864261194,NA,NA,NA,NA,,50,10,10,800,50,40,100,40,0.2,200
ran_pars,subj_id,cor__(Intercept).X_i,1,NA,NA,NA,NA,,50,10,10,800,50,40,100,40,0.2,200
ran_pars,subj_id,sd__X_i,18.35942293982317,NA,NA,NA,NA,,50,10,10,800,50,40,100,40,0.2,200
ran_pars,item_id,sd__(Intercept),44.56737300008843,NA,NA,NA,NA,,50,10,10,800,50,40,100,40,0.2,200
ran_pars,Residual,sd__Observation,194.99114002947644,NA,NA,NA,NA,,50,10,10,800,50,40,100,40,0.2,200
fixed,NA,(Intercept),804.616238943253,17.863031773540488,45.04365491501203,20.63932213788051,4.298434995262457e-22,,50,10,10,800,50,60,20,40,0.2,200
fixed,NA,X_i,36.72990873033671,36.25102106191157,1.0132103222032633,21.786235081973743,0.32208087744753955,,50,10,10,800,50,60,20,40,0.2,200
ran_pars,subj_id,sd__(Intercept),18.180822115767505,NA,NA,NA,NA,,50,10,10,800,50,60,20,40,0.2,200
ran_pars,subj_id,cor__(Intercept).X_i,0.5364667684832491,NA,NA,NA,NA,,50,10,10,800,50,60,20,40,0.2,200
ran_pars,subj_id,sd__X_i,56.669345719508655,NA,NA,NA,NA,,50,10,10,800,50,60,20,40,0.2,200
ran_pars,item_id,sd__(Intercept),73.83740208578097,NA,NA,NA,NA,,50,10,10,800,50,60,20,40,0.2,200
ran_pars,Residual,sd__Observation,199.6971731085529,NA,NA,NA,NA,,50,10,10,800,50,60,20,40,0.2,200
fixed,NA,(Intercept),794.5228039987584,17.236214757398198,46.09613045449727,23.939709645173856,6.792951656667402e-25,,50,10,10,800,50,60,40,40,0.2,200
fixed,NA,X_i,94.29259254621215,33.13836724192311,2.84542059232548,20.748760188100725,0.009763071328980475,,50,10,10,800,50,60,40,40,0.2,200
ran_pars,subj_id,sd__(Intercept),38.29328836774118,NA,NA,NA,NA,,50,10,10,800,50,60,40,40,0.2,200
ran_pars,subj_id,cor__(Intercept).X_i,0.6050066997874549,NA,NA,NA,NA,,50,10,10,800,50,60,40,40,0.2,200
ran_pars,subj_id,sd__X_i,36.81919440261016,NA,NA,NA,NA,,50,10,10,800,50,60,40,40,0.2,200
ran_pars,item_id,sd__(Intercept),67.85445315248481,NA,NA,NA,NA,,50,10,10,800,50,60,40,40,0.2,200
ran_pars,Residual,sd__Observation,193.77368204096132,NA,NA,NA,NA,,50,10,10,800,50,60,40,40,0.2,200
fixed,NA,(Intercept),780.3159951718742,16.096758742206916,48.47659132306101,31.0660521983915,7.643239276335876e-31,,50,10,10,800,50,60,60,40,0.2,200
fixed,NA,X_i,63.64413596114322,28.11961694714092,2.263335808620049,19.957605880738168,0.03491848406749204,,50,10,10,800,50,60,60,40,0.2,200
ran_pars,subj_id,sd__(Intercept),55.45957846692042,NA,NA,NA,NA,,50,10,10,800,50,60,60,40,0.2,200
ran_pars,subj_id,cor__(Intercept).X_i,1,NA,NA,NA,NA,,50,10,10,800,50,60,60,40,0.2,200
ran_pars,subj_id,sd__X_i,4.192116010808439,NA,NA,NA,NA,,50,10,10,800,50,60,60,40,0.2,200
ran_pars,item_id,sd__(Intercept),56.89266219467089,NA,NA,NA,NA,,50,10,10,800,50,60,60,40,0.2,200
ran_pars,Residual,sd__Observation,189.08092064086756,NA,NA,NA,NA,,50,10,10,800,50,60,60,40,0.2,200
fixed,NA,(Intercept),800.3286901516938,15.719551170235448,50.912947926089316,46.54164977865373,1.832278290657422e-42,,50,10,10,800,50,60,80,40,0.2,200
fixed,NA,X_i,12.15611228977128,22.08772225728418,0.5503560823598452,19.360658535139287,0.5883694631197729,,50,10,10,800,50,60,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),79.88541745760921,NA,NA,NA,NA,,50,10,10,800,50,60,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).X_i,-0.4945364902353546,NA,NA,NA,NA,,50,10,10,800,50,60,80,40,0.2,200
ran_pars,subj_id,sd__X_i,22.34358110334927,NA,NA,NA,NA,,50,10,10,800,50,60,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),39.51520157406879,NA,NA,NA,NA,,50,10,10,800,50,60,80,40,0.2,200
ran_pars,Residual,sd__Observation,203.46531098483672,NA,NA,NA,NA,,50,10,10,800,50,60,80,40,0.2,200
fixed,NA,(Intercept),794.6381646524114,20.452786888433526,38.85231724102087,54.29130212519009,2.644058317663374e-41,,50,10,10,800,50,60,100,40,0.2,200
fixed,NA,X_i,20.227341564319147,27.7702722160315,0.7283811050524058,21.629598968848146,0.4741930877104249,,50,10,10,800,50,60,100,40,0.2,200
ran_pars,subj_id,sd__(Intercept),109.00753252389211,NA,NA,NA,NA,,50,10,10,800,50,60,100,40,0.2,200
ran_pars,subj_id,cor__(Intercept).X_i,0.3176278052838199,NA,NA,NA,NA,,50,10,10,800,50,60,100,40,0.2,200
ran_pars,subj_id,sd__X_i,49.26125490359498,NA,NA,NA,NA,,50,10,10,800,50,60,100,40,0.2,200
ran_pars,item_id,sd__(Intercept),53.255147430358576,NA,NA,NA,NA,,50,10,10,800,50,60,100,40,0.2,200
ran_pars,Residual,sd__Observation,197.124610775214,NA,NA,NA,NA,,50,10,10,800,50,60,100,40,0.2,200
fixed,NA,(Intercept),813.7700125777526,15.599625124862655,52.16599796880807,20.027377627382418,7.15414777807585e-23,Model failed to converge with 1 negative eigenvalue: -2.1e+00,50,10,10,800,50,80,20,40,0.2,200
fixed,NA,X_i,85.83223666708271,31.392617651851253,2.7341535395032945,20.25732524550725,0.012689200607334595,Model failed to converge with 1 negative eigenvalue: -2.1e+00,50,10,10,800,50,80,20,40,0.2,200
ran_pars,subj_id,sd__(Intercept),3.7602021328748467,NA,NA,NA,NA,Model failed to converge with 1 negative eigenvalue: -2.1e+00,50,10,10,800,50,80,20,40,0.2,200
ran_pars,subj_id,cor__(Intercept).X_i,0.9999999613582898,NA,NA,NA,NA,Model failed to converge with 1 negative eigenvalue: -2.1e+00,50,10,10,800,50,80,20,40,0.2,200
