effect,group,term,estimate,std.error,statistic,df,p.value,warnings,n_subj,n_ingroup,beta_0,beta_1,omega_0,tau_0,tau_1,rho,sigma,n_outgroup
fixed,NA,X_i,153.5811586159935,39.733234997547896,3.865307182399612,22.004557927387133,8.369332941258785e-4,,30,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,sd__(Intercept),59.73299386562044,NA,NA,NA,NA,,30,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,cor__(Intercept).X_i,0.23798701272523778,NA,NA,NA,NA,,30,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,sd__X_i,60.832998436853195,NA,NA,NA,NA,,30,10,800,100,100,80,40,0.2,200,10
ran_pars,item_id,sd__(Intercept),75.8359178584387,NA,NA,NA,NA,,30,10,800,100,100,80,40,0.2,200,10
ran_pars,Residual,sd__Observation,213.94773401115495,NA,NA,NA,NA,,30,10,800,100,100,80,40,0.2,200,10
fixed,NA,(Intercept),794.4498654197324,25.435112320830736,31.234376141091282,45.45850241341324,2.3079389326090573e-32,,30,15,800,100,100,80,40,0.2,200,15
fixed,NA,X_i,173.15579417690824,43.70599535032489,3.9618316157538573,30.632298157655647,4.1252949770008673e-4,,30,15,800,100,100,80,40,0.2,200,15
ran_pars,item_id,sd__(Intercept),112.341596338125,NA,NA,NA,NA,,30,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,sd__(Intercept),72.66380719799797,NA,NA,NA,NA,,30,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,cor__(Intercept).X_i,1,NA,NA,NA,NA,,30,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,sd__X_i,28.162807745628175,NA,NA,NA,NA,,30,15,800,100,100,80,40,0.2,200,15
ran_pars,Residual,sd__Observation,212.67475300741867,NA,NA,NA,NA,,30,15,800,100,100,80,40,0.2,200,15
fixed,NA,(Intercept),799.8296390649481,23.262803459809128,34.38234090946108,60.839717590272635,1.4458079723806593e-41,,30,20,800,100,100,80,40,0.2,200,20
fixed,NA,X_i,139.29204963272508,37.93719190094915,3.6716489189923447,40.93430315944174,6.903785497643091e-4,,30,20,800,100,100,80,40,0.2,200,20
ran_pars,item_id,sd__(Intercept),112.80012308665162,NA,NA,NA,NA,,30,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,sd__(Intercept),75.42647614296031,NA,NA,NA,NA,,30,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,cor__(Intercept).X_i,0.5624804782445029,NA,NA,NA,NA,,30,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,sd__X_i,31.53674231901171,NA,NA,NA,NA,,30,20,800,100,100,80,40,0.2,200,20
ran_pars,Residual,sd__Observation,200.26848126190924,NA,NA,NA,NA,,30,20,800,100,100,80,40,0.2,200,20
